matchId,date,leagueId,league,round,homeId,awayId,homeTeam,awayTeam,homeRank,awayRank,homeFormation,awayFormation,homeRating,awayRating,homeScore,awayScore,result,homePossession,awayPossession,homeXG,awayXG,homeXGOT,awayXGOT,homeShots,awayShots,homeShotsOT,awayShotsOT,homeShotsOff,awayShotsOff,homeInsideBox,awayInsideBox,homeOutsideBox,awayOutsideBox,homeBigChance,awayBigChance,homeBigMiss,awayBigMiss,homeTouchesBox,awayTouchesBox,homePasses,awayPasses,homePassAcc,awayPassAcc,homeCrossAcc,awayCrossAcc,homeLongBallAcc,awayLongBallAcc,homeCorners,awayCorners,homeTackles,awayTackles,homeInterceptions,awayInterceptions,homeBlocks,awayBlocks,homeClearances,awayClearances,homeKeeperSaves,awayKeeperSaves,homeYellow,awayYellow,homeRed,awayRed,homeFouls,awayFouls,homeOffside,awayOffside,homeFifaRank,awayFifaRank,cityMatch,countryMatch,neutral
3854604,2022-11-24T13:00:00.000Z,868717,World Cup Grp. H,1,5796,7804,Uruguay,South Korea,14,28,4-3-3,4-2-3-1,6.9,6.7,0,0,D,56,44,0.59,0.64,0.05,0.00,10,7,1,0,7,6,6,2,4,5,1,1,1,1,15,13,548,418,82,78,38,11,57,43,4,3,16,12,10,10,1,2,18,15,0,1,1,1,0,0,7,10,1,0,14,28,Al Rayyan,Qatar,TRUE
3854603,2022-11-24T16:00:00.000Z,868717,World Cup Grp. H,1,8361,6714,Portugal,Ghana,9,61,4-1-2-1-2,5-3-2,7.3,6.3,3,2,H,62,38,2.00,0.93,2.99,1.63,11,9,5,3,3,5,7,3,4,6,5,2,2,0,24,11,622,387,89,81,25,9,67,47,3,3,16,14,5,6,1,3,15,17,1,2,2,4,0,0,14,19,1,1,9,61,Doha,Qatar,TRUE
3854597,2022-11-24T19:00:00.000Z,868718,World Cup Grp. G,1,8256,8205,Brazil,Serbia,1,21,4-2-3-1,3-5-1-1,7.3,6.4,2,0,H,59,41,2.43,0.18,1.97,0.00,23,5,9,0,9,3,11,2,12,3,2,0,1,0,38,5,581,406,87,80,12,15,38,47,6,4,17,24,2,11,2,5,16,22,0,7,0,3,0,0,7,12,1,0,1,21,Lusail,Qatar,TRUE
3854562,2022-11-25T10:00:00.000Z,868713,World Cup Grp. B,2,5790,6711,Wales,Iran,19,20,3-5-2,4-4-2,6.5,7.4,0,2,A,62,38,0.89,1.47,0.65,1.50,10,21,3,6,5,6,6,7,4,14,1,2,1,1,20,26,501,298,78,66,20,13,53,32,2,7,10,19,6,14,9,1,32,21,4,3,1,2,1,0,9,10,2,2,19,20,Al Rayyan,Qatar,TRUE
3854555,2022-11-25T13:00:00.000Z,868712,World Cup Grp. A,2,5902,6395,Qatar,Senegal,50,18,5-3-2,4-4-2,6.3,7.2,1,3,A,45,55,0.96,0.75,1.18,1.44,10,13,3,5,5,6,5,10,5,3,1,2,1,0,17,16,406,502,81,86,30,28,52,57,6,6,18,8,10,5,2,1,18,17,2,2,3,3,0,0,7,12,4,3,50,18,Doha,Qatar,FALSE
3854556,2022-11-25T16:00:00.000Z,868712,World Cup Grp. A,2,6708,6707,Netherlands,Ecuador,8,44,3-4-1-2,3-4-2-1,6.7,6.7,1,1,D,54,46,0.10,1.68,0.20,1.24,2,15,1,4,1,4,0,10,2,5,0,1,0,0,6,23,506,413,83,79,0,27,44,35,2,5,25,16,9,9,5,0,20,15,3,0,0,1,0,0,15,12,1,4,8,44,Al Rayyan,Qatar,TRUE
3854561,2022-11-25T19:00:00.000Z,868713,World Cup Grp. B,2,8491,6713,England,United States,5,16,4-2-3-1,4-3-3,6.8,6.9,0,0,D,56,44,0.77,0.63,0.35,0.05,8,10,3,1,4,5,6,6,2,4,1,1,1,1,25,20,541,421,87,84,21,19,71,40,3,7,9,12,9,3,4,1,19,15,1,3,0,0,0,0,9,15,1,0,5,16,Al Khor,Qatar,TRUE
3854582,2022-11-26T10:00:00.000Z,868715,World Cup Grp. D,2,6719,6716,Tunisia,Australia,30,38,3-4-2-1,4-2-3-1,6.5,7.1,0,1,A,58,42,0.94,0.61,0.34,0.41,14,9,4,2,4,5,9,6,5,3,1,1,1,1,32,16,497,351,76,68,8,19,40,35,5,2,18,19,8,11,2,6,22,37,1,4,3,0,0,0,16,15,3,0,30,38,Al Wakrah,Qatar,TRUE
3854575,2022-11-26T13:00:00.000Z,868714,World Cup Grp. C,2,8568,7795,Poland,Saudi Arabia,26,51,4-4-1-1,4-3-3,7.2,6.5,2,0,H,36,64,1.56,1.73,1.33,2.69,9,16,3,5,4,8,9,9,0,7,5,3,3,3,20,35,297,537,77,85,38,15,44,60,4,5,13,14,9,9,3,2,27,11,5,1,3,2,0,0,18,15,0,0,26,51,Al Rayyan,Qatar,TRUE
3854581,2022-11-26T16:00:00.000Z,868715,World Cup Grp. D,2,6723,8238,France,Denmark,4,10,4-2-3-1,3-4-3,7.2,6.7,2,1,H,48,52,2.42,0.64,1.50,0.37,21,10,7,2,6,6,16,5,5,5,4,1,3,0,34,17,491,528,86,86,45,25,56,61,6,4,20,19,10,5,2,8,14,19,1,4,1,2,0,0,4,9,1,1,4,10,Doha,Qatar,TRUE
